member_type,rideable_type,month,day_of_week,hour,rIde_length_bucket,total_rides,avg_ride_length
member,classic_bike,Dec,Thursday,17,120+ mins,1,802
member,classic_bike,Jan,Thursday,9,120+ mins,1,203
member,classic_bike,Jan,Thursday,15,120+ mins,1,141
member,classic_bike,Jan,Thursday,14,120+ mins,1,123
member,classic_bike,Jan,Thursday,13,120+ mins,1,187
member,classic_bike,Jan,Thursday,8,120+ mins,1,267
member,classic_bike,Jan,Thursday,7,120+ mins,1,202
member,classic_bike,Feb,Thursday,23,120+ mins,1,632
member,classic_bike,Feb,Thursday,7,120+ mins,1,286
member,classic_bike,Feb,Thursday,16,120+ mins,1,139
member,classic_bike,Feb,Thursday,11,120+ mins,1,1277
member,classic_bike,Mar,Thursday,9,120+ mins,1,130
member,classic_bike,Mar,Thursday,10,120+ mins,1,405
member,classic_bike,Mar,Thursday,14,120+ mins,1,128
member,classic_bike,Mar,Thursday,18,120+ mins,1,203
member,classic_bike,Mar,Thursday,11,120+ mins,1,181
member,classic_bike,Mar,Thursday,19,120+ mins,1,939
member,classic_bike,Mar,Thursday,15,120+ mins,1,1201
member,classic_bike,Mar,Thursday,23,120+ mins,1,802
member,classic_bike,Apr,Thursday,13,120+ mins,1,123
member,classic_bike,Apr,Thursday,9,120+ mins,1,126
member,classic_bike,Apr,Thursday,17,120+ mins,1,196
member,classic_bike,May,Thursday,17,120+ mins,1,131
member,classic_bike,May,Thursday,11,120+ mins,1,198
member,classic_bike,May,Thursday,21,120+ mins,1,721
member,classic_bike,May,Thursday,20,120+ mins,1,130
member,classic_bike,May,Thursday,10,120+ mins,1,187
member,classic_bike,May,Thursday,12,120+ mins,1,1096
member,classic_bike,Jun,Thursday,9,120+ mins,1,132
member,classic_bike,Jun,Thursday,11,120+ mins,1,172
member,classic_bike,Jun,Thursday,20,120+ mins,1,357
member,classic_bike,Jun,Thursday,0,120+ mins,1,513
member,classic_bike,Jun,Thursday,3,120+ mins,1,456
member,classic_bike,Jun,Thursday,10,120+ mins,1,219
member,classic_bike,Jun,Thursday,6,120+ mins,1,265
member,classic_bike,Jun,Thursday,12,120+ mins,1,152
member,classic_bike,Jun,Thursday,22,120+ mins,1,528
member,classic_bike,Jun,Thursday,8,120+ mins,1,285
member,classic_bike,Jul,Thursday,14,120+ mins,1,142
member,classic_bike,Jul,Thursday,22,120+ mins,1,1159
member,classic_bike,Jul,Thursday,16,120+ mins,1,135
member,classic_bike,Jul,Thursday,23,120+ mins,1,954
member,classic_bike,Jul,Thursday,11,120+ mins,1,358
member,classic_bike,Jul,Thursday,12,120+ mins,1,391
member,classic_bike,Aug,Thursday,10,120+ mins,1,147
member,classic_bike,Aug,Thursday,6,120+ mins,1,299
member,classic_bike,Aug,Thursday,20,120+ mins,1,1118
member,classic_bike,Aug,Thursday,22,120+ mins,1,135
member,classic_bike,Aug,Thursday,17,120+ mins,1,206
member,classic_bike,Sep,Thursday,17,120+ mins,1,298
member,classic_bike,Sep,Thursday,7,120+ mins,1,554
member,classic_bike,Sep,Thursday,6,120+ mins,1,233
member,classic_bike,Sep,Thursday,11,120+ mins,1,277
member,classic_bike,Sep,Thursday,1,120+ mins,1,409
member,classic_bike,Oct,Monday,9,120+ mins,1,623
member,classic_bike,Oct,Monday,16,120+ mins,1,1042
member,classic_bike,Oct,Monday,23,120+ mins,1,558
member,classic_bike,Oct,Monday,21,120+ mins,1,779
member,classic_bike,Nov,Monday,6,120+ mins,1,264
member,classic_bike,Nov,Monday,13,120+ mins,1,337
member,classic_bike,Nov,Monday,18,120+ mins,1,122
member,classic_bike,Nov,Monday,20,120+ mins,1,1355
member,classic_bike,Nov,Monday,10,120+ mins,1,187
member,classic_bike,Nov,Monday,16,120+ mins,1,149
member,classic_bike,Dec,Monday,12,120+ mins,1,1185
member,classic_bike,Dec,Monday,18,120+ mins,1,982
member,classic_bike,Dec,Monday,21,120+ mins,1,202
member,classic_bike,Dec,Monday,14,120+ mins,1,139
member,classic_bike,Jan,Monday,17,120+ mins,1,127
member,classic_bike,Jan,Monday,6,120+ mins,1,127
member,classic_bike,Jan,Monday,13,120+ mins,1,371
member,classic_bike,Jan,Monday,7,120+ mins,1,234
member,classic_bike,Jan,Monday,21,120+ mins,1,750
member,classic_bike,Feb,Monday,7,120+ mins,1,163
member,classic_bike,Feb,Monday,17,120+ mins,1,778
member,classic_bike,Feb,Monday,13,120+ mins,1,298
member,classic_bike,Feb,Monday,19,120+ mins,1,131
member,classic_bike,Mar,Monday,12,120+ mins,1,224
member,classic_bike,Mar,Monday,18,120+ mins,1,163
member,classic_bike,Mar,Monday,11,120+ mins,1,166
member,classic_bike,Mar,Monday,7,120+ mins,1,214
member,classic_bike,Mar,Monday,16,120+ mins,1,151
member,classic_bike,Mar,Monday,19,120+ mins,1,1182
member,classic_bike,Apr,Monday,20,120+ mins,1,682
member,classic_bike,Apr,Monday,11,120+ mins,1,213
member,classic_bike,Apr,Monday,6,120+ mins,1,248
member,classic_bike,Apr,Monday,16,120+ mins,1,1138
member,classic_bike,Apr,Monday,13,120+ mins,1,1321
member,classic_bike,Apr,Monday,10,120+ mins,1,378
member,classic_bike,Apr,Monday,17,120+ mins,1,771
member,classic_bike,May,Monday,13,120+ mins,1,148
member,classic_bike,May,Monday,16,120+ mins,1,865
member,classic_bike,May,Monday,12,120+ mins,1,161
member,classic_bike,May,Monday,4,120+ mins,1,292
member,classic_bike,May,Monday,8,120+ mins,1,192
member,classic_bike,May,Monday,9,120+ mins,1,250
member,classic_bike,May,Monday,21,120+ mins,1,561
member,classic_bike,Jun,Monday,11,120+ mins,1,127
member,classic_bike,Jun,Monday,22,120+ mins,1,140
member,classic_bike,Jun,Monday,10,120+ mins,1,600
member,classic_bike,Jun,Monday,13,120+ mins,1,1232
member,classic_bike,Jun,Monday,17,120+ mins,1,178
member,classic_bike,Jun,Monday,4,120+ mins,1,169
member,classic_bike,Jun,Monday,15,120+ mins,1,163
member,classic_bike,Jul,Monday,10,120+ mins,1,144
member,classic_bike,Jul,Monday,13,120+ mins,1,212
member,classic_bike,Jul,Monday,16,120+ mins,1,869
member,classic_bike,Jul,Monday,9,120+ mins,1,156
member,classic_bike,Aug,Monday,1,120+ mins,1,270
member,classic_bike,Aug,Monday,13,120+ mins,1,240
member,classic_bike,Aug,Monday,15,120+ mins,1,249
member,classic_bike,Aug,Monday,8,120+ mins,1,264
member,classic_bike,Sep,Monday,9,120+ mins,1,281
member,classic_bike,Sep,Monday,23,120+ mins,1,412
member,classic_bike,Sep,Monday,14,120+ mins,1,199
member,classic_bike,Sep,Monday,7,120+ mins,1,371
member,classic_bike,Sep,Monday,6,120+ mins,1,211
member,classic_bike,Sep,Monday,16,120+ mins,1,1427
member,classic_bike,Sep,Monday,3,120+ mins,1,398
member,classic_bike,Sep,Monday,15,120+ mins,1,343
member,classic_bike,Sep,Monday,13,120+ mins,1,1303
member,classic_bike,Sep,Monday,17,120+ mins,1,123
member,classic_bike,Sep,Monday,22,120+ mins,1,242
member,classic_bike,Oct,Saturday,22,120+ mins,1,549
member,classic_bike,Oct,Saturday,8,120+ mins,1,154
member,classic_bike,Oct,Saturday,10,120+ mins,1,127
member,classic_bike,Oct,Saturday,17,120+ mins,1,803
member,classic_bike,Oct,Saturday,4,120+ mins,1,332
member,classic_bike,Oct,Saturday,9,120+ mins,1,189
member,classic_bike,Oct,Saturday,20,120+ mins,1,869
member,classic_bike,Oct,Saturday,19,120+ mins,1,968
member,classic_bike,Oct,Saturday,23,120+ mins,1,712
member,classic_bike,Oct,Saturday,14,120+ mins,1,371
member,classic_bike,Oct,Saturday,1,120+ mins,1,938
member,classic_bike,Nov,Saturday,9,120+ mins,1,413
member,classic_bike,Nov,Saturday,1,120+ mins,1,378
member,classic_bike,Nov,Saturday,0,120+ mins,1,515
member,classic_bike,Nov,Saturday,2,120+ mins,1,1440
member,classic_bike,Nov,Saturday,16,120+ mins,1,1068
member,classic_bike,Dec,Saturday,15,120+ mins,1,145
member,classic_bike,Dec,Saturday,10,120+ mins,1,130
member,classic_bike,Dec,Saturday,1,120+ mins,1,527
member,classic_bike,Dec,Saturday,12,120+ mins,1,301
member,classic_bike,Dec,Saturday,5,120+ mins,1,448
member,classic_bike,Dec,Saturday,13,120+ mins,1,162
member,classic_bike,Jan,Saturday,21,120+ mins,1,828
member,classic_bike,Jan,Saturday,7,120+ mins,1,383
member,classic_bike,Jan,Saturday,16,120+ mins,1,1394
member,classic_bike,Jan,Saturday,11,120+ mins,1,249
member,classic_bike,Jan,Saturday,9,120+ mins,1,200
member,classic_bike,Feb,Saturday,15,120+ mins,1,319
member,classic_bike,Feb,Saturday,9,120+ mins,1,168
member,classic_bike,Feb,Saturday,2,120+ mins,1,594
member,classic_bike,Mar,Saturday,12,120+ mins,1,405
member,classic_bike,Mar,Saturday,15,120+ mins,1,136
member,classic_bike,Mar,Saturday,23,120+ mins,1,789
member,classic_bike,Mar,Saturday,18,120+ mins,1,146
member,classic_bike,Mar,Saturday,7,120+ mins,1,129
member,classic_bike,Apr,Saturday,1,120+ mins,1,849
member,classic_bike,Apr,Saturday,8,120+ mins,1,1246
member,classic_bike,Apr,Saturday,16,120+ mins,1,132
member,classic_bike,Apr,Saturday,5,120+ mins,1,139
member,classic_bike,Apr,Saturday,18,120+ mins,1,182
member,classic_bike,Apr,Saturday,12,120+ mins,1,181
member,classic_bike,Apr,Saturday,14,120+ mins,1,267
member,classic_bike,Apr,Saturday,9,120+ mins,1,207
member,classic_bike,May,Saturday,2,120+ mins,1,333
member,classic_bike,May,Saturday,20,120+ mins,1,132
member,classic_bike,Jun,Saturday,23,120+ mins,1,138
member,classic_bike,Jun,Saturday,14,120+ mins,1,124
member,classic_bike,Jun,Saturday,3,120+ mins,1,496
member,classic_bike,Jun,Saturday,19,120+ mins,1,745
member,classic_bike,Jun,Saturday,20,120+ mins,1,147
member,classic_bike,Jun,Saturday,13,120+ mins,1,1369
member,classic_bike,Jun,Saturday,8,120+ mins,1,157
member,classic_bike,Jun,Saturday,10,120+ mins,1,1244
member,classic_bike,May,Saturday,19,120+ mins,1,760
member,classic_bike,Jun,Saturday,7,120+ mins,1,214
member,classic_bike,Jul,Saturday,23,120+ mins,1,156
member,classic_bike,Jul,Saturday,5,120+ mins,1,396
member,classic_bike,Jul,Saturday,17,120+ mins,1,861
member,classic_bike,Jul,Saturday,14,120+ mins,1,133
member,classic_bike,Aug,Saturday,5,120+ mins,1,127
member,classic_bike,Aug,Saturday,22,120+ mins,1,697
member,classic_bike,Aug,Saturday,20,120+ mins,1,921
member,classic_bike,Aug,Saturday,17,120+ mins,1,390
member,classic_bike,Aug,Saturday,1,120+ mins,1,423
member,classic_bike,Sep,Saturday,9,120+ mins,1,122
member,classic_bike,Sep,Saturday,7,120+ mins,1,462
member,classic_bike,Sep,Saturday,23,120+ mins,1,435
member,classic_bike,Sep,Saturday,10,120+ mins,1,142
member,classic_bike,Sep,Saturday,3,120+ mins,1,363
member,classic_bike,Oct,Wednesday,8,120+ mins,1,384
member,classic_bike,Oct,Tuesday,4,120+ mins,1,321
member,classic_bike,Oct,Tuesday,21,120+ mins,1,542
member,classic_bike,Oct,Wednesday,22,120+ mins,1,931
member,classic_bike,Oct,Tuesday,11,120+ mins,1,422
member,classic_bike,Oct,Wednesday,21,120+ mins,1,706
member,classic_bike,Oct,Tuesday,5,120+ mins,1,465
member,classic_bike,Oct,Wednesday,5,120+ mins,1,722
member,classic_bike,Oct,Tuesday,20,120+ mins,1,412
member,classic_bike,Oct,Wednesday,23,120+ mins,1,559
member,classic_bike,Nov,Tuesday,21,120+ mins,1,733
member,classic_bike,Nov,Tuesday,9,120+ mins,1,624
member,classic_bike,Nov,Wednesday,22,120+ mins,1,149
member,classic_bike,Nov,Wednesday,16,120+ mins,1,133
member,classic_bike,Nov,Wednesday,19,120+ mins,1,1011
member,classic_bike,Nov,Tuesday,14,120+ mins,1,199
member,classic_bike,Nov,Wednesday,10,120+ mins,1,1267
member,classic_bike,Nov,Wednesday,13,120+ mins,1,232
member,classic_bike,Nov,Wednesday,5,120+ mins,1,326
member,classic_bike,Nov,Wednesday,18,120+ mins,1,1151
member,classic_bike,Nov,Tuesday,11,120+ mins,1,1421
member,classic_bike,Nov,Tuesday,8,120+ mins,1,790
member,classic_bike,Nov,Tuesday,15,120+ mins,1,248
member,classic_bike,Dec,Tuesday,20,120+ mins,1,738
member,classic_bike,Dec,Wednesday,9,120+ mins,1,347
member,classic_bike,Dec,Wednesday,4,120+ mins,1,226
member,classic_bike,Dec,Wednesday,15,120+ mins,1,181
member,classic_bike,Dec,Tuesday,21,120+ mins,1,1071
member,classic_bike,Dec,Tuesday,18,120+ mins,1,133
member,classic_bike,Dec,Wednesday,7,120+ mins,1,133
member,classic_bike,Dec,Wednesday,11,120+ mins,1,176
member,classic_bike,Dec,Tuesday,19,120+ mins,1,1320
member,classic_bike,Jan,Tuesday,20,120+ mins,1,919
member,classic_bike,Jan,Wednesday,16,120+ mins,1,260
member,classic_bike,Jan,Wednesday,10,120+ mins,1,145
member,classic_bike,Jan,Tuesday,18,120+ mins,1,150
member,classic_bike,Jan,Wednesday,6,120+ mins,1,216
member,classic_bike,Jan,Wednesday,15,120+ mins,1,240
member,classic_bike,Jan,Tuesday,23,120+ mins,1,698
member,classic_bike,Jan,Tuesday,15,120+ mins,1,188
member,classic_bike,Feb,Tuesday,5,120+ mins,1,138
member,classic_bike,Feb,Wednesday,10,120+ mins,1,421
member,classic_bike,Feb,Tuesday,9,120+ mins,1,441
member,classic_bike,Feb,Tuesday,8,120+ mins,1,148
member,classic_bike,Feb,Wednesday,19,120+ mins,1,161
member,classic_bike,Feb,Wednesday,17,120+ mins,1,206
member,classic_bike,Feb,Tuesday,14,120+ mins,1,190
member,classic_bike,Feb,Tuesday,11,120+ mins,1,176
member,classic_bike,Feb,Tuesday,16,120+ mins,1,164
member,classic_bike,Mar,Tuesday,22,120+ mins,1,516
member,classic_bike,Mar,Wednesday,19,120+ mins,1,124
member,classic_bike,Mar,Tuesday,14,120+ mins,1,300
member,classic_bike,Mar,Wednesday,9,120+ mins,1,220
member,classic_bike,Mar,Wednesday,13,120+ mins,1,365
member,classic_bike,Mar,Tuesday,15,120+ mins,1,1041
member,classic_bike,Mar,Wednesday,8,120+ mins,1,478
member,classic_bike,Mar,Tuesday,23,120+ mins,1,130
member,classic_bike,Mar,Wednesday,11,120+ mins,1,443
member,classic_bike,Apr,Tuesday,11,120+ mins,1,142
member,classic_bike,Apr,Wednesday,18,120+ mins,1,537
member,classic_bike,Apr,Wednesday,13,120+ mins,1,148
member,classic_bike,Apr,Wednesday,0,120+ mins,1,652
member,classic_bike,Apr,Wednesday,17,120+ mins,1,152
member,classic_bike,Apr,Tuesday,10,120+ mins,1,150
member,classic_bike,Apr,Tuesday,14,120+ mins,1,369
member,classic_bike,Apr,Wednesday,11,120+ mins,1,181
member,classic_bike,Apr,Wednesday,6,120+ mins,1,167
member,classic_bike,Apr,Tuesday,18,120+ mins,1,183
member,classic_bike,Apr,Wednesday,10,120+ mins,1,1223
member,classic_bike,Apr,Tuesday,7,120+ mins,1,790
member,classic_bike,Apr,Tuesday,15,120+ mins,1,1045
member,classic_bike,May,Tuesday,0,120+ mins,1,121
member,classic_bike,May,Tuesday,18,120+ mins,1,146
member,classic_bike,May,Tuesday,11,120+ mins,1,416
member,classic_bike,May,Tuesday,5,120+ mins,1,149
member,classic_bike,May,Tuesday,16,120+ mins,1,1012
member,classic_bike,May,Tuesday,1,120+ mins,1,176
member,classic_bike,May,Wednesday,19,120+ mins,1,999
member,classic_bike,May,Tuesday,7,120+ mins,1,558
member,classic_bike,May,Wednesday,7,120+ mins,1,336
member,classic_bike,May,Wednesday,18,120+ mins,1,1399
member,classic_bike,Jun,Tuesday,10,120+ mins,1,533
member,classic_bike,Jun,Wednesday,15,120+ mins,1,306
member,classic_bike,Jun,Wednesday,13,120+ mins,1,136
member,classic_bike,Jun,Tuesday,12,120+ mins,1,315
member,classic_bike,Jun,Tuesday,19,120+ mins,1,849
member,classic_bike,Jun,Tuesday,11,120+ mins,1,482
member,classic_bike,Jun,Tuesday,17,120+ mins,1,134
member,classic_bike,Jun,Wednesday,21,120+ mins,1,1302
member,classic_bike,Jun,Wednesday,12,120+ mins,1,168
member,classic_bike,Jun,Tuesday,14,120+ mins,1,158
member,classic_bike,Jul,Tuesday,13,120+ mins,1,334
member,classic_bike,Jul,Tuesday,1,120+ mins,1,168
member,classic_bike,Jul,Wednesday,1,120+ mins,1,338
member,classic_bike,Jul,Tuesday,22,120+ mins,1,921
member,classic_bike,Jul,Tuesday,3,120+ mins,1,283
member,classic_bike,Jul,Tuesday,9,120+ mins,1,155
member,classic_bike,Aug,Wednesday,6,120+ mins,1,1065
member,classic_bike,Aug,Tuesday,15,120+ mins,1,1195
member,classic_bike,Aug,Tuesday,22,120+ mins,1,220
member,classic_bike,Aug,Tuesday,13,120+ mins,1,180
member,classic_bike,Aug,Wednesday,9,120+ mins,1,539
member,classic_bike,Aug,Wednesday,23,120+ mins,1,430
member,classic_bike,Aug,Wednesday,5,120+ mins,1,121
member,classic_bike,Aug,Wednesday,22,120+ mins,1,1000
member,classic_bike,Aug,Wednesday,21,120+ mins,1,633
member,classic_bike,Aug,Wednesday,12,120+ mins,1,170
member,classic_bike,Sep,Wednesday,15,120+ mins,1,139
member,classic_bike,Sep,Tuesday,20,120+ mins,1,698
member,classic_bike,Sep,Tuesday,18,120+ mins,1,1238
member,classic_bike,Sep,Tuesday,21,120+ mins,1,1261
member,classic_bike,Sep,Wednesday,13,120+ mins,1,1426
member,classic_bike,Sep,Wednesday,0,120+ mins,1,460
member,classic_bike,Sep,Tuesday,14,120+ mins,1,1209
member,classic_bike,Sep,Tuesday,13,120+ mins,1,150
member,classic_bike,Sep,Tuesday,11,120+ mins,1,159
member,classic_bike,Sep,Wednesday,5,120+ mins,1,282
member,classic_bike,Sep,Wednesday,4,120+ mins,1,361
member,electric_bike,Oct,Friday,20,120+ mins,1,137
member,electric_bike,Oct,Thursday,23,120+ mins,1,130
member,electric_bike,Oct,Tuesday,8,120+ mins,1,382
member,electric_bike,Oct,Monday,15,120+ mins,1,296
member,electric_bike,Oct,Friday,10,120+ mins,1,326
member,electric_bike,Oct,Tuesday,20,120+ mins,1,127
member,electric_bike,Oct,Wednesday,14,120+ mins,1,178
member,electric_bike,Oct,Friday,21,120+ mins,1,145
